Area|Age group of mother|Age group of father|Number of children in family|Year|Value|Flags
"Total, New Zealand by regional council"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|380643|
"Total, New Zealand by regional council"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|114192|
"Total, New Zealand by regional council"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|168396|
"Total, New Zealand by regional council"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|68151|
"Total, New Zealand by regional council"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|29904|
"Total, New Zealand by territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|380646|
"Total, New Zealand by territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|114189|
"Total, New Zealand by territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|168396|
"Total, New Zealand by territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|68151|
"Total, New Zealand by territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|29907|
"Northland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|11733|
"Northland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|3426|
"Northland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4821|
"Northland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|2226|
"Northland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1263|
"Auckland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|135924|
"Auckland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|40989|
"Auckland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|60447|
"Auckland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|22998|
"Auckland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|11490|
"Waikato Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|35559|
"Waikato Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|10185|
"Waikato Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|15252|
"Waikato Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|6921|
"Waikato Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|3204|
"Bay of Plenty Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|22539|
"Bay of Plenty Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|6720|
"Bay of Plenty Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|9771|
"Bay of Plenty Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|4206|
"Bay of Plenty Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1842|
"Gisborne Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3588|
"Gisborne Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1011|
"Gisborne Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1461|
"Gisborne Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|717|
"Gisborne Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|402|
"Hawke's Bay Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|12609|
"Hawke's Bay Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|3651|
"Hawke's Bay Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|5397|
"Hawke's Bay Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|2445|
"Hawke's Bay Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1113|
"Taranaki Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|9813|
"Taranaki Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2931|
"Taranaki Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4227|
"Taranaki Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1884|
"Taranaki Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|768|
"Manawatu-Wanganui Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|18021|
"Manawatu-Wanganui Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|5424|
"Manawatu-Wanganui Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|7494|
"Manawatu-Wanganui Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|3450|
"Manawatu-Wanganui Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1656|
"Wellington Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|42819|
"Wellington Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|13353|
"Wellington Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|19188|
"Wellington Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|7401|
"Wellington Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|2874|
"Tasman Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|4473|
"Tasman Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1236|
"Tasman Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2115|
"Tasman Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|837|
"Tasman Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|288|
"Nelson Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3924|
"Nelson Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1248|
"Nelson Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1806|
"Nelson Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|645|
"Nelson Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|228|
"Marlborough Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3546|
"Marlborough Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1113|
"Marlborough Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1581|
"Marlborough Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|618|
"Marlborough Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|234|
"West Coast Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|2664|
"West Coast Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|870|
"West Coast Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1164|
"West Coast Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|441|
"West Coast Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|192|
"Canterbury Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|48096|
"Canterbury Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|14295|
"Canterbury Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|22305|
"Canterbury Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|8640|
"Canterbury Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|2856|
"Otago Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|16614|
"Otago Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|5145|
"Otago Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|7602|
"Otago Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|2976|
"Otago Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|894|
"Southland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|8667|
"Southland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2580|
"Southland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|3738|
"Southland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1740|
"Southland Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|606|
"Total, Regional Council Areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|380592|
"Total, Regional Council Areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|114177|
"Total, Regional Council Areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|168375|
"Total, Regional Council Areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|68145|
"Total, Regional Council Areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|29901|
"Area Outside Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|51|
"Area Outside Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|15|
"Area Outside Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|24|
"Area Outside Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|6|
"Area Outside Region"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"||c
"Far North District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|4023|
"Far North District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1206|
"Far North District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1509|
"Far North District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|792|
"Far North District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|513|
"Whangarei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6213|
"Whangarei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1818|
"Whangarei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2694|
"Whangarei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1149|
"Whangarei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|552|
"Kaipara District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1497|
"Kaipara District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|399|
"Kaipara District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|615|
"Kaipara District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|285|
"Kaipara District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|195|
"Auckland"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|135924|
"Auckland"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|40989|
"Auckland"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|60450|
"Auckland"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|22998|
"Auckland"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|11493|
"Rodney Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|5400|
"Rodney Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1413|
"Rodney Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2511|
"Rodney Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1095|
"Rodney Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|381|
"Hibiscus and Bays Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|9108|
"Hibiscus and Bays Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2376|
"Hibiscus and Bays Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4671|
"Hibiscus and Bays Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1638|
"Hibiscus and Bays Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|417|
"Upper Harbour Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6054|
"Upper Harbour Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1830|
"Upper Harbour Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|3030|
"Upper Harbour Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|966|
"Upper Harbour Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|228|
"Kaipatiki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|8175|
"Kaipatiki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2832|
"Kaipatiki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|3687|
"Kaipatiki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1227|
"Kaipatiki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|432|
"Devonport-Takapuna Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|5631|
"Devonport-Takapuna Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1662|
"Devonport-Takapuna Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2817|
"Devonport-Takapuna Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|948|
"Devonport-Takapuna Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|204|
"Henderson-Massey Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|10539|
"Henderson-Massey Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|3372|
"Henderson-Massey Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4314|
"Henderson-Massey Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1752|
"Henderson-Massey Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1101|
"Waitakere Ranges Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|5118|
"Waitakere Ranges Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1455|
"Waitakere Ranges Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2394|
"Waitakere Ranges Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|903|
"Waitakere Ranges Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|369|
"Great Barrier Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|51|
"Great Barrier Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|21|
"Great Barrier Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|18|
"Great Barrier Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"||c
"Great Barrier Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|9|
"Waiheke Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|651|
"Waiheke Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|240|
"Waiheke Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|285|
"Waiheke Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|102|
"Waiheke Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|27|
"Waitemata Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|4086|
"Waitemata Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1659|
"Waitemata Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1776|
"Waitemata Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|546|
"Waitemata Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|105|
"Whau Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6852|
"Whau Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2427|
"Whau Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2850|
"Whau Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|996|
"Whau Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|582|
"Albert-Eden Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|9222|
"Albert-Eden Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2916|
"Albert-Eden Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4404|
"Albert-Eden Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1497|
"Albert-Eden Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|405|
