Area|Age group of mother|Age group of father|Number of children in family|Year|Value|Flags
"Puketapapa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|4995|
"Puketapapa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1533|
"Puketapapa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2214|
"Puketapapa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|750|
"Puketapapa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|495|
"Orakei Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|8115|
"Orakei Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2325|
"Orakei Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4092|
"Orakei Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1410|
"Orakei Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|285|
"Maungakiekie-Tamaki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6069|
"Maungakiekie-Tamaki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2133|
"Maungakiekie-Tamaki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2325|
"Maungakiekie-Tamaki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|936|
"Maungakiekie-Tamaki Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|675|
"Howick Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|14211|
"Howick Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|4296|
"Howick Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|6996|
"Howick Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|2262|
"Howick Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|657|
"Mangere-Otahuhu Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6405|
"Mangere-Otahuhu Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1572|
"Mangere-Otahuhu Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1992|
"Mangere-Otahuhu Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1248|
"Mangere-Otahuhu Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1593|
"Otara-Papatoetoe Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|7140|
"Otara-Papatoetoe Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2034|
"Otara-Papatoetoe Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2517|
"Otara-Papatoetoe Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1299|
"Otara-Papatoetoe Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1293|
"Manurewa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|7596|
"Manurewa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2049|
"Manurewa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2811|
"Manurewa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1461|
"Manurewa Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1272|
"Papakura Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3855|
"Papakura Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1116|
"Papakura Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1614|
"Papakura Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|684|
"Papakura Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|444|
"Franklin Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6657|
"Franklin Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1731|
"Franklin Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|3129|
"Franklin Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1281|
"Franklin Local Board Area"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|519|
"Thames-Coromandel District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1722|
"Thames-Coromandel District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|504|
"Thames-Coromandel District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|777|
"Thames-Coromandel District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|315|
"Thames-Coromandel District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|129|
"Hauraki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1368|
"Hauraki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|393|
"Hauraki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|549|
"Hauraki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|300|
"Hauraki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|126|
"Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6099|
"Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1533|
"Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2667|
"Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1314|
"Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|585|
"Matamata-Piako District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|2883|
"Matamata-Piako District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|738|
"Matamata-Piako District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1242|
"Matamata-Piako District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|636|
"Matamata-Piako District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|267|
"Hamilton City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|12243|
"Hamilton City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|3813|
"Hamilton City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|5289|
"Hamilton City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|2100|
"Hamilton City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1041|
"Waipa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|4446|
"Waipa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1227|
"Waipa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2010|
"Waipa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|891|
"Waipa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|318|
"Otorohanga District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|879|
"Otorohanga District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|243|
"Otorohanga District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|339|
"Otorohanga District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|186|
"Otorohanga District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|111|
"South Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1842|
"South Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|516|
"South Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|690|
"South Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|384|
"South Waikato District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|249|
"Waitomo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|816|
"Waitomo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|216|
"Waitomo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|306|
"Waitomo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|177|
"Waitomo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|117|
"Taupo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|2853|
"Taupo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|900|
"Taupo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1197|
"Taupo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|525|
"Taupo District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|231|
"Western Bay of Plenty District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3876|
"Western Bay of Plenty District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1146|
"Western Bay of Plenty District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1680|
"Western Bay of Plenty District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|720|
"Western Bay of Plenty District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|327|
"Tauranga City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|9912|
"Tauranga City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2967|
"Tauranga City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4533|
"Tauranga City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1821|
"Tauranga City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|594|
"Rotorua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|5403|
"Rotorua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1608|
"Rotorua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2283|
"Rotorua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1008|
"Rotorua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|507|
"Whakatane District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|2733|
"Whakatane District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|777|
"Whakatane District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1098|
"Whakatane District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|546|
"Whakatane District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|306|
"Kawerau District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|444|
"Kawerau District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|126|
"Kawerau District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|156|
"Kawerau District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|93|
"Kawerau District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|69|
"Opotiki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|588|
"Opotiki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|192|
"Opotiki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|207|
"Opotiki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|114|
"Opotiki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|72|
"Gisborne District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3591|
"Gisborne District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1011|
"Gisborne District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1461|
"Gisborne District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|717|
"Gisborne District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|399|
"Wairoa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|606|
"Wairoa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|186|
"Wairoa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|195|
"Wairoa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|123|
"Wairoa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|102|
"Hastings District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6357|
"Hastings District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1746|
"Hastings District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2724|
"Hastings District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1293|
"Hastings District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|591|
"Napier City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|4524|
"Napier City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1386|
"Napier City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2013|
"Napier City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|810|
"Napier City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|312|
"Central Hawke's Bay District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1116|
"Central Hawke's Bay District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|327|
"Central Hawke's Bay District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|462|
"Central Hawke's Bay District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|219|
"Central Hawke's Bay District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|105|
"New Plymouth District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6600|
"New Plymouth District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2028|
"New Plymouth District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2919|
"New Plymouth District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1203|
"New Plymouth District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|450|
"Stratford District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|837|
"Stratford District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|240|
"Stratford District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|342|
"Stratford District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|177|
"Stratford District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|81|
"South Taranaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|2388|
"South Taranaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|669|
"South Taranaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|966|
"South Taranaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|507|
"South Taranaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|240|
"Ruapehu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|951|
"Ruapehu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|300|
"Ruapehu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|336|
"Ruapehu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|204|
"Ruapehu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|114|
"Wanganui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3051|
"Wanganui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|960|
"Wanganui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1236|
"Wanganui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|558|
"Wanganui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|294|
"Rangitikei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1239|
"Rangitikei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|351|
"Rangitikei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|504|
"Rangitikei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|249|
"Rangitikei District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|132|
"Manawatu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|2532|
"Manawatu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|747|
"Manawatu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1080|
