Area|Age group of mother|Age group of father|Number of children in family|Year|Value|Flags
"Manawatu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|483|
"Manawatu District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|222|
"Palmerston North City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|6714|
"Palmerston North City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2076|
"Palmerston North City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2931|
"Palmerston North City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1209|
"Palmerston North City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|498|
"Tararua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1437|
"Tararua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|393|
"Tararua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|573|
"Tararua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|321|
"Tararua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|147|
"Horowhenua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|2082|
"Horowhenua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|594|
"Horowhenua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|834|
"Horowhenua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|420|
"Horowhenua District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|237|
"Kapiti Coast District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3921|
"Kapiti Coast District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1161|
"Kapiti Coast District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1764|
"Kapiti Coast District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|720|
"Kapiti Coast District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|279|
"Porirua City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|5043|
"Porirua City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1440|
"Porirua City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2073|
"Porirua City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|963|
"Porirua City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|567|
"Upper Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3795|
"Upper Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1131|
"Upper Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1761|
"Upper Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|624|
"Upper Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|273|
"Lower Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|9261|
"Lower Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2823|
"Lower Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4068|
"Lower Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1653|
"Lower Hutt City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|717|
"Wellington City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|17361|
"Wellington City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|5772|
"Wellington City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|8094|
"Wellington City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|2739|
"Wellington City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|759|
"Masterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1869|
"Masterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|576|
"Masterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|738|
"Masterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|393|
"Masterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|162|
"Carterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|720|
"Carterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|204|
"Carterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|312|
"Carterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|141|
"Carterton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|60|
"South Wairarapa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|846|
"South Wairarapa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|243|
"South Wairarapa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|378|
"South Wairarapa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|168|
"South Wairarapa District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|54|
"Tasman District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|4473|
"Tasman District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1236|
"Tasman District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2115|
"Tasman District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|837|
"Tasman District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|285|
"Nelson City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3924|
"Nelson City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1248|
"Nelson City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1806|
"Nelson City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|645|
"Nelson City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|228|
"Marlborough District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3546|
"Marlborough District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1113|
"Marlborough District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1581|
"Marlborough District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|618|
"Marlborough District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|234|
"Kaikoura District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|276|
"Kaikoura District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|87|
"Kaikoura District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|111|
"Kaikoura District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|60|
"Kaikoura District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|18|
"Buller District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|846|
"Buller District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|267|
"Buller District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|369|
"Buller District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|147|
"Buller District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|63|
"Grey District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1101|
"Grey District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|354|
"Grey District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|486|
"Grey District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|180|
"Grey District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|81|
"Westland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|723|
"Westland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|246|
"Westland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|312|
"Westland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|114|
"Westland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|51|
"Hurunui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1077|
"Hurunui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|294|
"Hurunui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|489|
"Hurunui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|237|
"Hurunui District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|60|
"Waimakariri District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|5031|
"Waimakariri District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1224|
"Waimakariri District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2484|
"Waimakariri District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|984|
"Waimakariri District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|339|
"Christchurch City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|28506|
"Christchurch City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|8964|
"Christchurch City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|13218|
"Christchurch City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|4746|
"Christchurch City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|1575|
"Selwyn District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|5205|
"Selwyn District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1335|
"Selwyn District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|2517|
"Selwyn District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1068|
"Selwyn District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|285|
"Ashburton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3072|
"Ashburton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|945|
"Ashburton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1296|
"Ashburton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|597|
"Ashburton District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|237|
"Timaru District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3744|
"Timaru District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1119|
"Timaru District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1677|
"Timaru District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|702|
"Timaru District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|249|
"Mackenzie District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|387|
"Mackenzie District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|105|
"Mackenzie District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|174|
"Mackenzie District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|75|
"Mackenzie District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|33|
"Waimate District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|657|
"Waimate District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|195|
"Waimate District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|270|
"Waimate District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|141|
"Waimate District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|51|
"Chatham Islands Territory"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|51|
"Chatham Islands Territory"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|18|
"Chatham Islands Territory"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|24|
"Chatham Islands Territory"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|9|
"Chatham Islands Territory"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"||c
"Waitaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1707|
"Waitaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|468|
"Waitaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|750|
"Waitaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|336|
"Waitaki District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|150|
"Central Otago District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1482|
"Central Otago District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|435|
"Central Otago District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|663|
"Central Otago District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|303|
"Central Otago District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|81|
"Queenstown-Lakes District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|2724|
"Queenstown-Lakes District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|927|
"Queenstown-Lakes District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1335|
"Queenstown-Lakes District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|402|
"Queenstown-Lakes District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|60|
"Dunedin City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|9210|
"Dunedin City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|2877|
"Dunedin City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|4251|
"Dunedin City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|1590|
"Dunedin City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|495|
"Clutha District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1629|
"Clutha District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|468|
"Clutha District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|666|
"Clutha District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|372|
"Clutha District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|120|
"Southland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|3174|
"Southland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|894|
"Southland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1338|
"Southland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|693|
"Southland District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|246|
"Gore District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|1089|
"Gore District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|291|
"Gore District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|468|
"Gore District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|249|
"Gore District"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|78|
"Invercargill City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|4404|
"Invercargill City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|1392|
"Invercargill City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|1932|
"Invercargill City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|798|
"Invercargill City"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|282|
"Total, Territorial Authority areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|380643|
"Total, Territorial Authority areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"|114192|
"Total, Territorial Authority areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"|168396|
"Total, Territorial Authority areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"|68151|
"Total, Territorial Authority areas"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"|29907|
"Area outside territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"2013"|0|
"Area outside territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"One child"|"2013"||c
"Area outside territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Two children"|"2013"||c
"Area outside territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Three children"|"2013"||c
"Area outside territorial authority"|"Total opposite-sex couples with dependent children"|"Total opposite-sex couples with dependent children"|"Four or more children"|"2013"||c
